playlist_position,video_id,privacy_status,old_title,old_description,current_hero,current_boss,title_family,authoritative_pair,verification_status,verification_reason,final_title,final_description,needs_review,apply,review_notes
0,uH8XFK5RD5E,public,Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode,"Chef Scabbs vs Gutmook – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft] 
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Chef Scabbs vs Gutmook boss fight 
[2026 03 16T22 27 25]",Chef Scabbs,Gutmook,trustedpair,TRUE,,,,,TRUE,FALSE,
1,ExR80_Kc0LE,public,Medivh vs Fungalmancer Flurgl – Book of Heroes | Hearthstone | Adventure Mode,"Medivh vs Fungalmancer Flurgl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Medivh vs Fungalmancer Flurgl boss fight
[2026 03 20T22 11 55]",Medivh,Fungalmancer Flurgl,trustedpair,TRUE,,,,,TRUE,FALSE,
2,PbE4ewC64C4,public,Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs George and Karl boss fight
[2026 03 20T22 20 01]",KelThuzad,George and Karl,trustedpair,TRUE,,,,,TRUE,FALSE,
3,Exc86GNipFg,public,King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Giant Rat boss fight
[2026 03 20T22 23 33]",King Rastakhan,Giant Rat,trustedpair,TRUE,,,,,TRUE,FALSE,
4,1ALxjY6v0BU,public,King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Candlebeard – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Candlebeard boss fight
[2026 03 20T22 27 25]",King Rastakhan,Candlebeard,trustedpair,TRUE,,,,,TRUE,FALSE,
5,9hKTXH-om70,public,King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Seriona – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Seriona boss fight
[2026 03 20T22 29 44]",King Rastakhan,Seriona,trustedpair,TRUE,,,,,TRUE,FALSE,
6,gv5mCyBkVPY,public,King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Blackseed boss fight
[2026 03 20T22 33 17]",King Rastakhan,Blackseed,trustedpair,TRUE,,,,,TRUE,FALSE,
7,lAOTBE9xWeY,public,King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Whompwhisker – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Whompwhisker boss fight
[2026 03 20T22 40 35]",King Rastakhan,Whompwhisker,trustedpair,TRUE,,,,,TRUE,FALSE,
8,fOH7DVQzgmo,public,King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Chronomancer Inara – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Chronomancer Inara boss fight
[2026 03 21T00 18 38]",King Rastakhan,Chronomancer Inara,trustedpair,TRUE,,,,,TRUE,FALSE,
9,3F32Cmt0RI0,public,King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs King Togwaggle boss fight
[ 2026 03 21T00 27 25]",King Rastakhan,King Togwaggle,trustedpair,TRUE,,,,,TRUE,FALSE,
